time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
1.033333333333333465e-01,1.000000000000000000e+00,2.048708910115255577e+00,2.094754564100739458e+00,-8.910960284844949841e-01,1.320217070668473422e-02,2.048708228956570121e+00,2.094752098394771167e+00,-8.911007701273371273e-01,1.320560751766353645e-02,2.048708910123838489e+00,2.094754564093281868e+00,-8.910960281347474199e-01,1.320217020384009503e-02,2.465705968290876626e-06,8.582912158772160183e-12,1.147985712537576725e-15,9.321079752035816818e-07,3.115995745630942693e-12
1.066666666666666735e-01,1.000000000000000000e+00,2.045689260534039100e+00,2.094800493920447426e+00,-9.207053392031029349e-01,1.436391901058720402e-02,2.045684491737184363e+00,2.094798436216769311e+00,-9.207244716699406473e-01,1.436160797591083151e-02,2.045689260543063437e+00,2.094800493912706951e+00,-9.207053388401954530e-01,1.436391848826060018e-02,4.768796854737189506e-06,9.024336833363122423e-12,1.691768418476428920e-15,2.161046906049862968e-06,3.355985179851956082e-12
1.100000000000000006e-01,1.000000000000000000e+00,2.042570796901214791e+00,2.094850377208882453e+00,-9.503845007744065043e-01,1.557393910337259019e-02,2.042562424630829376e+00,2.094848824645987762e+00,-9.504158520414168754e-01,1.556615994037145907e-02,2.042570796910743169e+00,2.094850377200769831e+00,-9.503845003981429285e-01,1.557393856126919850e-02,8.372270385414992688e-06,9.528378086542943493e-12,9.425566902940103927e-15,3.162322091806604884e-06,3.607091949394385900e-12
1.133333333333333415e-01,1.000000000000000000e+00,2.039353286077155047e+00,2.094904371551453703e+00,-9.801336620549605527e-01,1.683018052125341210e-02,2.039342372420267946e+00,2.094903385351834402e+00,-9.801732704962817788e-01,1.681805482210319350e-02,2.039353286087145722e+00,2.094904371543048871e+00,-9.801336616653184564e-01,1.683017995932366978e-02,1.091365688710155268e-05,9.990674953996858676e-12,1.184237892933500205e-14,3.760875530214887417e-06,3.869316054258232551e-12
1.166666666666666685e-01,1.000000000000000000e+00,2.036036494762916149e+00,2.094962627109103082e+00,-1.009952768381959798e+00,1.813023660841074289e-02,2.036024792431291086e+00,2.094962223139473334e+00,-1.009994690179767840e+00,1.811595131729903246e-02,2.036036494773405980e+00,2.094962627100366515e+00,-1.009952767979729771e+00,1.813023602799877787e-02,1.170233162506306712e-05,1.048983122586832906e-11,2.960594732333750354e-14,3.752989329437068623e-06,4.143020016247454784e-12
1.200000000000000094e-01,1.000000000000000000e+00,2.032620190191710918e+00,2.095025285407996929e+00,-1.039841553886779124e+00,1.947133095342538922e-02,2.032610259517369400e+00,2.095025424768378830e+00,-1.039877691624128353e+00,1.945838562792526899e-02,2.032620190202750088e+00,2.095025285398860682e+00,-1.039841553471925639e+00,1.947133035446300259e-02,9.930674341518397341e-06,1.103916957845285651e-11,5.419700969190559679e-14,2.905401815853213405e-06,4.427962154159413163e-12
1.233333333333333365e-01,1.000000000000000000e+00,2.029104140845737536e+00,2.095092478084360721e+00,-1.069799533867322294e+00,2.085030389531157546e-02,2.029099470085629964e+00,2.095093057894764410e+00,-1.069819489183723382e+00,2.084378220428668646e-02,2.029104140857250993e+00,2.095092478074942477e+00,-1.069799533438965167e+00,2.085030327622448831e-02,4.670760107572391462e-06,1.151345685457272339e-11,5.715760442423934336e-14,9.546077491598660174e-07,4.724021627392787971e-12
1.266666666666666774e-01,1.000000000000000000e+00,2.025488117198070093e+00,2.095164325584868870e+00,-1.099825997257981802e+00,2.226359916185433746e-02,2.025488187561296005e+00,2.095164439279107338e+00,-1.099832486297905865e+00,2.227826602265692638e-02,2.025488117209854888e+00,2.095164325575486597e+00,-1.099825996815718243e+00,2.226359852181969412e-02,1.136942384682981810e-07,1.178479536179111165e-11,2.579946838176553916e-14,1.931349550431673111e-08,5.030956754744940581e-12
1.300000000000000044e-01,1.000000000000000000e+00,2.021771892479342636e+00,2.095240935822944461e+00,-1.129919999236937755e+00,2.370725070446442692e-02,2.021772404370661302e+00,2.095239282053857455e+00,-1.129926000123139262e+00,2.374121635734594352e-02,2.021771892491285971e+00,2.095240935813794891e+00,-1.129919998781260926e+00,2.370725004428157756e-02,1.653769087006651262e-06,1.194333520970758400e-11,1.431961125638977467e-14,9.882034130977316283e-07,5.348405014411910226e-12
1.333333333333333315e-01,1.000000000000000000e+00,2.017955243468981585e+00,2.095322402791324201e+00,-1.160080354010517567e+00,2.517686979376491940e-02,2.017955667151325461e+00,2.095318591098723093e+00,-1.160086674916508409e+00,2.521745898470968000e-02,2.017955243481317940e+00,2.095322402782083593e+00,-1.160080353541288689e+00,2.517686911342597103e-02,3.811692601107807832e-06,1.233635416042488941e-11,2.332223605471076969e-14,1.913982978517200534e-06,5.676064304890398822e-12
1.366666666666666863e-01,1.000000000000000000e+00,2.014037951310716945e+00,2.095408805131252716e+00,-1.190305627814344458e+00,2.666763244012333722e-02,2.014037929488727841e+00,2.095402752557792514e+00,-1.190312643545749394e+00,2.670535331122312825e-02,2.014037951323748299e+00,2.095408805121474316e+00,-1.190305627330598526e+00,2.666763173818419499e-02,6.052573460202381739e-06,1.303135377384023741e-11,6.464972170606353415e-15,2.686039865933348857e-06,6.013270002873146713e-12
1.400000000000000133e-01,1.000000000000000000e+00,2.010019802350770934e+00,2.095500204660683430e+00,-1.220594132179529723e+00,2.817426721661674474e-02,2.010019126750201668e+00,2.095492078822003723e+00,-1.220601911152855656e+00,2.820245400892986906e-02,2.010019802364265473e+00,2.095500204650715403e+00,-1.220594131682765759e+00,2.817426649533202876e-02,8.125838679706731682e-06,1.349453881971385272e-11,4.712783451470051963e-15,3.253073395542213721e-06,6.359720006856855816e-12
1.433333333333333404e-01,1.000000000000000000e+00,2.005900588996291312e+00,2.095596644865248770e+00,-1.250943917526685656e+00,2.969104358626221962e-02,2.005899176903690240e+00,2.095586808962313086e+00,-1.250952327427595767e+00,2.970550122525479966e-02,2.005900589010237933e+00,2.095596644855121315e+00,-1.250943917017112827e+00,2.969104284595589296e-02,9.835902935684259774e-06,1.394662163534121646e-11,4.471102248830561836e-15,3.582928049609278455e-06,6.714387171730306514e-12
1.466666666666666674e-01,1.000000000000000000e+00,2.001680110596855577e+00,2.095698149347805295e+00,-1.281352767118039582e+00,3.121176078467440343e-02,2.001677981703772868e+00,2.095687109809176274e+00,-1.281361560776002495e+00,3.121041387397431588e-02,2.001680110611276042e+00,2.095698149337498428e+00,-1.281352766595879489e+00,3.121176002578528869e-02,1.103953862902073979e-05,1.442046482225123327e-11,4.591942850150306900e-15,3.660887894810019610e-06,7.076667294486901835e-12
1.500000000000000222e-01,1.000000000000000000e+00,1.997358174344349813e+00,2.095804720243598762e+00,-1.311818191441538772e+00,3.272973737701165287e-02,1.997355428222751028e+00,2.095793077611138866e+00,-1.311827074552673000e+00,3.271228618568362834e-02,1.997358174359243677e+00,2.095804720233122698e+00,-1.311818190907130699e+00,3.272973660003109658e-02,1.164263245989616280e-05,1.489386391995140002e-11,2.839754131014005448e-15,3.487826442959093582e-06,7.445472809714764321e-12
1.533333333333333492e-01,1.000000000000000000e+00,1.992934596190908403e+00,2.095916336601662877e+00,-1.342337423077409220e+00,3.423780157190146195e-02,1.992931390701901950e+00,2.095904740199932448e+00,-1.342346105499488740e+00,3.420538767979985212e-02,1.992934596206204168e+00,2.095916336591134854e+00,-1.342337422531293400e+00,3.423780077751534257e-02,1.159640173042930655e-05,1.529576465486570669e-11,2.295971425075153450e-15,3.078236721122191839e-06,7.819957833204653528e-12
1.566666666666666763e-01,1.000000000000000000e+00,1.988409201782915581e+00,2.096032952735581212e+00,-1.372907412108727687e+00,3.572828239377980053e-02,1.988405732696056694e+00,2.096022059585771480e+00,-1.372915644507247457e+00,3.568316670032276039e-02,1.988409201798588155e+00,2.096032952725055409e+00,-1.372907411551262946e+00,3.572828158257269210e-02,1.089314980973199454e-05,1.567257434942348482e-11,5.498247360048393694e-15,2.458168889604837999e-06,8.198974379244032544e-12
1.600000000000000033e-01,1.000000000000000000e+00,1.983781827409481391e+00,2.096154496546159152e+00,-1.403524822136631656e+00,3.719300181434168073e-02,1.983778309483389179e+00,2.096144934904607293e+00,-1.403532419790872288e+00,3.713825763452784090e-02,1.983781827425670441e+00,2.096154496535439282e+00,-1.403524821567677661e+00,3.719300098634849977e-02,9.561641551858457433e-06,1.618905010047910764e-11,6.646233072585970617e-15,1.663104581941566487e-06,8.581374462120365263e-12
1.633333333333333304e-01,1.000000000000000000e+00,1.979052320963539557e+00,2.096280867818938631e+00,-1.434186026961953964e+00,3.862326794534466645e-02,1.979048970711649424e+00,2.096273205638882864e+00,-1.434192882543639413e+00,3.856249190785324132e-02,1.979052320980232649e+00,2.096280867808048232e+00,-1.434186026382185286e+00,3.862326710161666232e-02,7.662180055767464637e-06,1.669309135365892871e-11,7.069175177205077945e-15,7.357982250699497056e-07,8.965526733715835098e-12
1.666666666666666852e-01,1.000000000000000000e+00,1.974220542911895970e+00,2.096411936502289297e+00,-1.464887108002123517e+00,4.000986940539305592e-02,1.974217563251963181e+00,2.096406655034825040e+00,-1.464893195111388380e+00,3.994691281990191134e-02,1.974220542929080668e+00,2.096411936491255013e+00,-1.464887107412224720e+00,4.000986854698691808e-02,5.281467464257616484e-06,1.718469810896294803e-11,5.619087961368138758e-15,2.758840528967197286e-07,9.349981106814603822e-12
1.700000000000000122e-01,1.000000000000000000e+00,1.969286367273179295e+00,2.096547540967951484e+00,-1.495623852500709949e+00,4.134307095968150353e-02,1.969283934231715216e+00,2.096545013642385769e+00,-1.495629221704213974e+00,4.128179425621390092e-02,1.969286367290872031e+00,2.096547540956761768e+00,-1.495623851900971690e+00,4.134307008726265803e-02,2.527325565715443645e-06,1.769273616503141966e-11,1.637390147882543523e-14,1.321097696000655019e-06,9.733589595704133716e-12
