time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
1.033333333333333465e-01,1.000000000000000000e+00,9.950509497264341530e-01,2.720092361650942175e-02,-1.016707827845157119e+00,5.519795062274822639e-01,9.950534129045888188e-01,2.719904527022663082e-02,-1.016713095134895051e+00,5.519836200497428846e-01,9.950509497397536096e-01,2.720092360535644738e-02,-1.016707827845850787e+00,5.519795060895814620e-01,2.463178154665790487e-06,1.331945664873046553e-11,5.349613420425107400e-13,1.733410705857439142e-06,7.352667227901198699e-12
1.066666666666666735e-01,1.000000000000000000e+00,9.916055178067076925e-01,2.907623865990206433e-02,-1.050569741431152337e+00,5.732646618518528747e-01,9.916089025571231952e-01,2.907191118925391005e-02,-1.050577608365588445e+00,5.732697411147719135e-01,9.916055178207556775e-01,2.907623864816750309e-02,-1.050569741430688708e+00,5.732646617052199467e-01,4.327470648154280175e-06,1.404798499748949325e-11,4.571399947925950294e-13,2.446091614914309002e-06,7.807632091870039117e-12
1.100000000000000006e-01,1.000000000000000000e+00,9.880470257637927745e-01,3.102306188267966308e-02,-1.084544777984940644e+00,5.948862879227106992e-01,9.880509726557856753e-01,3.101669457590790560e-02,-1.084554538206036201e+00,5.948919165825635735e-01,9.880470257787131727e-01,3.102306187016364708e-02,-1.084544777983425856e+00,5.948862877671654559e-01,6.367306771757480499e-06,1.492039825023994126e-11,4.680156489113721246e-13,2.916844399997213564e-06,8.263442840048116749e-12
1.133333333333333415e-01,1.000000000000000000e+00,9.843750876725610999e-01,3.304253362622073392e-02,-1.118638272280463752e+00,6.168556576083189524e-01,9.843791107341488544e-01,3.303486107382897635e-02,-1.118648927924285719e+00,6.168613328665217832e-01,9.843750876886242507e-01,3.304253361254034377e-02,-1.118638272277580725e+00,6.168556574429755468e-01,7.672552391757569978e-06,1.606315080948661489e-11,6.197914441689716785e-13,3.047739130999954919e-06,8.716836776199800033e-12
1.166666666666666685e-01,1.000000000000000000e+00,9.805892995675878909e-01,3.513583190067412487e-02,-1.152855714331515902e+00,6.391840990410414536e-01,9.805927863916157339e-01,3.512796412698392101e-02,-1.152865963687545792e+00,6.391892417454175801e-01,9.805892995847004245e-01,3.513583188596997725e-02,-1.152855714326809000e+00,6.391840988650828725e-01,7.867773690203860859e-06,1.711253361236231285e-11,6.937458921766556228e-13,2.737057002571040923e-06,9.163221957474938089e-12
1.200000000000000094e-01,1.000000000000000000e+00,9.766892389223322812e-01,3.730417256460355491e-02,-1.187202750979961641e+00,6.618829925652183199e-01,9.766914548889618075e-01,3.729764565587133374e-02,-1.187210979762699514e+00,6.618869601749527432e-01,9.766892389400788632e-01,3.730417254947997890e-02,-1.187202750974142962e+00,6.618829923797260317e-01,6.526908732221170517e-06,1.774658198172573975e-11,5.799140457334558311e-13,1.881634864730199109e-06,9.597885600422059512e-12
1.233333333333333365e-01,1.000000000000000000e+00,9.726744641236536593e-01,3.954880949455343714e-02,-1.221685186824680747e+00,6.849637670371109266e-01,9.726745610428775279e-01,3.954563635318890380e-02,-1.221689463097482387e+00,6.849658692053751663e-01,9.726744641423190618e-01,3.954880947860536095e-02,-1.221685186816575230e+00,6.849637668399694013e-01,3.173141364533338393e-06,1.866540255690551930e-11,5.720594066476724801e-13,3.794151531428646918e-07,1.001526903738045892e-11
1.266666666666666774e-01,1.000000000000000000e+00,9.685445139474629928e-01,4.187103473618186689e-02,-1.256308984375090532e+00,7.084378950070181480e-01,9.685470325994178786e-01,4.186721033566687816e-02,-1.256310595705480981e+00,7.084392140791586634e-01,9.685445139670628700e-01,4.187103471939203347e-02,-1.256308984364186143e+00,7.084378947972463925e-01,3.824400514988723909e-06,1.959987727673251356e-11,5.596128247117387551e-13,1.596202422120415644e-06,1.040848435407490837e-11
1.300000000000000044e-01,1.000000000000000000e+00,9.642989070320743261e-01,4.427217864192041497e-02,-1.291080263333971301e+00,7.323168866502244301e-01,9.643056281256473516e-01,4.426474225949845326e-02,-1.291082064544079033e+00,7.323184010911484298e-01,9.642989070525972428e-01,4.427217862431017531e-02,-1.291080263319737798e+00,7.323168864268315703e-01,7.436382421961706957e-06,2.052291669940586871e-11,5.306110803949999019e-13,4.062594482259781581e-06,1.077028111442622482e-11
1.333333333333333315e-01,1.000000000000000000e+00,9.599371413568791311e-01,4.675360998418093272e-02,-1.326005298867884097e+00,7.566122822394679703e-01,9.599445478179948754e-01,4.674556344544907038e-02,-1.326007150295100079e+00,7.566133353635967618e-01,9.599371413784600904e-01,4.675360996555423532e-02,-1.326005298849779468e+00,7.566122820013319039e-01,8.046538731862340477e-06,2.158095924187364290e-11,5.773763931057412597e-13,4.472676868569770178e-06,1.109183795453806647e-11
